endTime,artistName,trackName,msPlayed
2021-11-04 07:43,ZillaKami,FROSTY,170370
2021-11-04 07:45,DJ Scheme,Thor's Hammer Worthy (feat. ZillaKami),123252
2021-11-04 07:47,City Morgue,33rd Blakk Glass,150266
2021-11-04 07:50,City Morgue,EVERYTHING IS BROKEN,139868
2021-11-04 07:52,City Morgue,NECK BRACE,135413
2021-11-04 07:54,City Morgue,SHINNERS13,102586
2021-11-04 07:58,Denzel Curry,VENGEANCE | VENGEANCE [FEAT. JPEGMAFIA & ZILLAKAMI | JPEGMAF1A + Z1LLAKAM1],240213
2021-11-04 08:00,City Morgue,SPLINTER,135652
2021-11-04 08:03,ZillaKami,BADASS (with Lil Uzi Vert),186217
2021-11-04 08:05,City Morgue,THE ELECTRIC EXPERIENCE,110757
2021-11-04 08:07,City Morgue,THE BALLOONS,110946
2021-11-04 08:08,ZillaKami,Black Cats,99226
2021-11-04 08:11,City Morgue,THE FALL BEFORE THE GIVE UP (feat. Clever),148957
2021-11-04 08:13,City Morgue,BUAKAW,144475
2021-11-04 08:15,City Morgue,16 TOES,103786
2021-11-04 08:17,ZillaKami,Lemon Juice,116472
2021-11-04 08:19,City Morgue,CABIN IN THE WOODS,128917
2021-11-04 08:22,City Morgue,Gravehop187,176173
2021-11-04 08:25,City Morgue,THE GIVE UP,148866
2021-11-04 08:36,City Morgue,PROSTHETIC LEGS,104874
2021-11-04 10:26,83HADES,SHOTSFIRED,126827
2021-11-04 10:29,83HADES,2083,188965
2021-11-04 10:32,83HADES,MASS EXTINCTION,198235
2021-11-04 10:32,83HADES,SNOW,10797
2021-11-04 10:35,83HADES,CHOK3,174381
2021-11-04 10:38,Yung Bambi,Sinister,143172
2021-11-04 10:42,83HADES,DRAMA,252541
2021-11-04 10:45,83HADES,CLUTCHIN,180451
2021-11-04 10:49,83HADES,CRACKHEADSHIT,217154
2021-11-04 10:52,83HADES,6kFR333STYLE,224288
2021-11-04 11:03,Kamiyada+,SOCKS5,8173
2021-11-04 11:23,Zotiyac,Gravesite,3595
2021-11-04 11:27,Yung Bambi,Sinister,0
2021-11-04 11:27,83HADES,DRAMA,0
2021-11-04 11:27,83HADES,CHOK3,174298
2021-11-04 11:30,83HADES,CLUTCHIN,179898
2021-11-04 11:34,83HADES,CRACKHEADSHIT,216990
2021-11-04 11:37,83HADES,6kFR333STYLE,224140
2021-11-04 11:40,83HADES,CLUTCHIN,179896
2021-11-04 11:43,Kamiyada+,SOCKS5,184526
2021-11-04 11:47,Yung Bambi,FISHSCALE,182464
2021-11-04 11:49,83HADES,FUCKEVERYONE,165815
2021-11-04 11:53,83HADES,SCARFACE,223989
2021-11-04 11:57,83HADES,TERROR,227724
2021-11-04 11:59,83HADES,AREA83,127292
2021-11-04 12:04,83HADES,BANDSK,265964
2021-11-04 12:07,Citr3s,STICK TALK,178262
2021-11-04 12:09,Yung Bambi,Sinister,143017
2021-11-04 12:13,83HADES,CRACKHEADSHIT,217007
2021-11-04 12:16,83HADES,PREZZURE,194009
2021-11-04 12:19,83HADES,KILL,39968
2021-11-04 12:19,83HADES,2021 PHARMACY FREESTYLE,163972
2021-11-04 12:23,Anton Suda,STRESS,181644
2021-11-04 12:25,83HADES,TUNNELVIZION,162270
2021-11-04 12:28,Anton Suda,WELL OFF,139474
2021-11-04 12:32,83HADES,WEAAPON 2,265466
2021-11-04 12:35,83HADES,SHOWZ,181144
2021-11-04 12:39,Auxxk,Important,198540
2021-11-04 12:41,Anton Suda,GET TO IT,151442
2021-11-04 12:45,83HADES,1TIME,242201
2021-11-04 12:48,83HADES,FOR REAL,181654
2021-11-04 12:52,83HADES,BARRY BONDS,235908
2021-11-04 12:56,83HADES,QUAKE,211046
2021-11-04 12:59,83HADES,83SHADES,207790
2021-11-04 13:03,GlimmerXP,WORLD DOMINATION +,201444
2021-11-04 13:05,Kill Stacy,PERSEUS,146004
2021-11-04 13:09,83HADES,ART OF WAR,235310
2021-11-04 13:14,83HADES,DO NOT RESUSCITATE (feat. Kamiyada+),283664
2021-11-04 13:18,83HADES,JUMP (feat. Kamiyada+),225626
2021-11-04 13:22,83HADES,WORLD DOMINATION (feat. Kamiyada+),222134
2021-11-04 13:24,Kay P,CREEPIN,109847
